Transaction,Type,Currency,Amount,Details,Outstanding Loan,Date / Time
NXTRs60xIvSEu,Interest,BTC,0.00017466,approved / BTC Interest Earned,$0.00,2021-02-26 01:00:02
NXTWKp5Rn9T7y,Interest,ETH,0.00218085,approved / ETH Interest Earned,$0.00,2021-02-26 01:00:02
NXTylQimaNLqp,Interest,BTC,0.00017463,approved / BTC Interest Earned,$0.00,2021-02-25 01:00:02
NXToHOaRyUJDk,Interest,LTC,0.00001003,approved / LTC Interest Earned,$0.00,2021-02-25 01:00:02
NXTwVeozhh6tB,Interest,ETH,0.00218056,approved / ETH Interest Earned,$0.00,2021-02-25 01:00:02
NXTQGV3R0PIk6,Interest,ETH,0.00218027,approved / ETH Interest Earned,$0.00,2021-02-24 01:00:02
NXTOpIVTEmNUU,Interest,LTC,0.00001003,approved / LTC Interest Earned,$0.00,2021-02-24 01:00:02
NXTLsKhF6quQ9,Interest,BTC,0.00017461,approved / BTC Interest Earned,$0.00,2021-02-24 01:00:02
NXTb7SXF8fYHX,Interest,LTC,0.00001003,approved / LTC Interest Earned,$0.00,2021-02-23 01:00:03
NXTy3j5qENEGR,Interest,ETH,0.00217998,approved / ETH Interest Earned,$0.00,2021-02-23 01:00:03
NXTIMLRHWREwn,Interest,BTC,0.00017459,approved / BTC Interest Earned,$0.00,2021-02-23 01:00:03
NXTri9T2NqBK5,Interest,ETH,0.00037501,approved / ETH Interest Earned,$0.00,2021-02-22 01:00:02
NXT5BKeCj1AVF,Deposit,LTC,0.07503000,approved / 68cc3eb241cf50e2e7251a11c85cc05eba94ca9f3445329f9835aa1b24df952f,$0.00,2021-02-21 02:40:50
NXT4FNqzk9lBs,Deposit,BTC,1.30604000,approved / 01b28194a376981be7955f28a7874157eac8aeea7b5ab2969399807ce25c34aa,$0.00,2021-02-21 02:26:29
NXTuNyunmqK6N,Deposit,ETH,13.50176000,approved / 0x2ae45b694ead67685b3e6c46b3110e2fc0745d1f6192f3fc889c30f10b49a1ff,$0.00,2021-02-21 02:24:27
NXTfk7oWPLasE,Interest,ETH,0.00005225,approved / ETH Interest Earned,$0.00,2021-02-21 01:00:02
NXT6cSvvHwgcC,Deposit,ETH,2.41436000,approved / 0x6d0325beeb38b748ee0d57ce6d56e0b72f711144e934583de25df06bea76d1f0,$0.00,2021-02-20 16:32:06
NXTnfbiUyxAKS,Interest,ETH,0.00005224,approved / ETH Interest Earned,$0.00,2021-02-20 01:00:02
NXTubV785DuTV,Interest,ETH,0.00005223,approved / ETH Interest Earned,$0.00,2021-02-19 01:00:03
NXTBlKiz7kIBV,Deposit,ETH,0.39076584,approved / 0xbf3276cf3140481f21b2a0b9cfec41504a064dc84a8cadf3f9a3b286b61240d6,$0.00,2021-02-17 20:09:18
